Title,Image URL,Price,Short Description,Stock Status,Stock Quantity,SKU,Categories,Tags,Weight,Dimensions,Reviews
Nidorina,https://scrapeme.live/wp-content/uploads/2018/08/030.png,£28.00,"When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.",In stock,58,9779,"Categories: Poison Pin, Pokemon","Tags: nidorina, Poison Pin, Poison Point",44.1 kg,2 x 2 x 2 cm,"Reviews
There are no reviews yet.




Be the first to review “Nidorina” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Nidoqueen,https://scrapeme.live/wp-content/uploads/2018/08/031.png,£106.00,Nidoqueen’s body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.,In stock,153,6614,"Categories: Drill, Pokemon","Tags: Drill, nidoqueen, Poison Point",132.3 kg,4 x 4 x 4 cm,"Reviews
There are no reviews yet.




Be the first to review “Nidoqueen” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Nidorino,https://scrapeme.live/wp-content/uploads/2018/08/033.png,£179.00,"Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.",In stock,279,9646,"Categories: Poison Pin, Pokemon","Tags: nidorino, Poison Pin, Poison Point",43 kg,2 x 2 x 2 cm,"Reviews
There are no reviews yet.




Be the first to review “Nidorino” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Nidoking,https://scrapeme.live/wp-content/uploads/2018/08/034.png,£31.00,"Nidoking’s thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.",In stock,178,1159,"Categories: Drill, Pokemon","Tags: Drill, nidoking, Poison Point",136.7 kg,4 x 4 x 4 cm,"Reviews
There are no reviews yet.




Be the first to review “Nidoking” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Clefairy,https://scrapeme.live/wp-content/uploads/2018/08/035.png,£160.00,"On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other.",In stock,86,3259,"Categories: Fairy, Pokemon","Tags: clefairy, Cute Charm, Fairy",16.5 kg,2 x 2 x 2 cm,"Reviews
There are no reviews yet.




Be the first to review “Clefairy” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Clefable,https://scrapeme.live/wp-content/uploads/2018/08/036.png,£188.00,"Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights.",In stock,23,9786,"Categories: Fairy, Pokemon","Tags: clefable, Cute Charm, Fairy",88.2 kg,4 x 4 x 4 cm,"Reviews
There are no reviews yet.




Be the first to review “Clefable” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Vulpix,https://scrapeme.live/wp-content/uploads/2018/08/037.png,£85.00,"Inside Vulpix’s body burns a flame that never goes out. During the daytime, when the temperatures rise, this Pokémon releases flames from its mouth to prevent its body from growing too hot.",In stock,268,1440,"Categories: Fox, Pokemon","Tags: Flash Fire, Fox, vulpix",21.8 kg,2 x 2 x 2 cm,"Reviews
There are no reviews yet.




Be the first to review “Vulpix” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Ninetales,https://scrapeme.live/wp-content/uploads/2018/08/038.png,£52.00,Legend has it that Ninetales came into being when nine wizards possessing sacred powers merged into one. This Pokémon is highly intelligent—it can understand human speech.,In stock,215,5173,"Categories: Fox, Pokemon","Tags: Flash Fire, Fox, ninetales",43.9 kg,3 x 3 x 3 cm,"Reviews
There are no reviews yet.




Be the first to review “Ninetales” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Jigglypuff,https://scrapeme.live/wp-content/uploads/2018/08/039.png,£61.00,"When this Pokémon sings, it never pauses to breathe. If it is in a battle against an opponent that does not easily fall asleep, Jigglypuff cannot breathe, endangering its life.",In stock,136,9180,"Categories: Balloon, Pokemon","Tags: Balloon, Cute Charm, jigglypuff",12.1 kg,1 x 1 x 1 cm,"Reviews
There are no reviews yet.




Be the first to review “Jigglypuff” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Wigglytuff,https://scrapeme.live/wp-content/uploads/2018/08/040.png,£130.00,"Wigglytuff’s body is very flexible. By inhaling deeply, this Pokémon can inflate itself seemingly without end. Once inflated, Wigglytuff bounces along lightly like a balloon.",In stock,260,2733,"Categories: Balloon, Pokemon","Tags: Balloon, Cute Charm, wigglytuff",26.5 kg,3 x 3 x 3 cm,"Reviews
There are no reviews yet.




Be the first to review “Wigglytuff” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Zubat,https://scrapeme.live/wp-content/uploads/2018/08/041.png,£125.00,"Zubat avoids sunlight because exposure causes it to become unhealthy. During the daytime, it stays in caves or under the eaves of old houses, sleeping while hanging upside down.",In stock,154,2584,"Categories: Bat, Pokemon","Tags: Bat, Inner Focus, zubat",16.5 kg,2 x 2 x 2 cm,"Reviews
There are no reviews yet.




Be the first to review “Zubat” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Golbat,https://scrapeme.live/wp-content/uploads/2018/08/042.png,£136.00,"Golbat bites down on prey with its four fangs and drinks the victim’s blood. It becomes active on inky dark moonless nights, flying around to attack people and Pokémon.",In stock,52,5941,"Categories: Bat, Pokemon","Tags: Bat, golbat, Inner Focus",121.3 kg,5 x 5 x 5 cm,"Reviews
There are no reviews yet.




Be the first to review “Golbat” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Oddish,https://scrapeme.live/wp-content/uploads/2018/08/043.png,£45.00,"Oddish searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this Pokémon’s feet are thought to change shape and become similar to the roots of trees.",In stock,296,8337,"Categories: Pokemon, Weed","Tags: Chlorophyll, oddish, Weed",11.9 kg,1 x 1 x 1 cm,"Reviews
There are no reviews yet.




Be the first to review “Oddish” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Gloom,https://scrapeme.live/wp-content/uploads/2018/08/044.png,£178.00,"From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey.",In stock,74,7374,"Categories: Pokemon, Weed","Tags: Chlorophyll, gloom, Weed",19 kg,2 x 2 x 2 cm,"Reviews
There are no reviews yet.




Be the first to review “Gloom” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Vileplume,https://scrapeme.live/wp-content/uploads/2018/08/045.png,£170.00,"Vileplume has the world’s largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this Pokémon catches and devours them.",In stock,283,5295,"Categories: Flower, Pokemon","Tags: Chlorophyll, Flower, vileplume",41 kg,3 x 3 x 3 cm,"Reviews
There are no reviews yet.




Be the first to review “Vileplume” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Paras,https://scrapeme.live/wp-content/uploads/2018/08/046.png,£168.00,Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.,In stock,192,9691,"Categories: Mushroom, Pokemon","Tags: Effect Spore, Mushroom, paras",11.9 kg,1 x 1 x 1 cm,"Reviews
There are no reviews yet.




Be the first to review “Paras” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Parasect,https://scrapeme.live/wp-content/uploads/2018/08/047.png,£27.00,"Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once.",In stock,17,4612,"Categories: Mushroom, Pokemon","Tags: Effect Spore, Mushroom, parasect",65 kg,3 x 3 x 3 cm,"Reviews
There are no reviews yet.




Be the first to review “Parasect” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Venonat,https://scrapeme.live/wp-content/uploads/2018/08/048.png,£158.00,"Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey.",In stock,177,1329,"Categories: Insect, Pokemon","Tags: Compound Eyes, Insect, venonat",66.1 kg,3 x 3 x 3 cm,"Reviews
There are no reviews yet.




Be the first to review “Venonat” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Venomoth,https://scrapeme.live/wp-content/uploads/2018/08/049.png,£53.00,"Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness.",In stock,22,3503,"Categories: Poison Moth, Pokemon","Tags: Poison Moth, Shield Dust, venomoth",27.6 kg,4 x 4 x 4 cm,"Reviews
There are no reviews yet.




Be the first to review “Venomoth” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Diglett,https://scrapeme.live/wp-content/uploads/2018/08/050.png,£122.00,"Diglett are raised in most farms. The reason is simple— wherever this Pokémon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables.",In stock,227,4383,"Categories: Mole, Pokemon","Tags: diglett, Mole, Sand Veil",1.8 kg,,"Reviews
There are no reviews yet.




Be the first to review “Diglett” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Dugtrio,https://scrapeme.live/wp-content/uploads/2018/08/051.png,£111.00,"Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly.",In stock,290,7897,"Categories: Mole, Pokemon","Tags: dugtrio, Mole, Sand Veil",73.4 kg,2 x 2 x 2 cm,"Reviews
There are no reviews yet.




Be the first to review “Dugtrio” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Meowth,https://scrapeme.live/wp-content/uploads/2018/08/052.png,£131.00,"Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this Pokémon loves shiny coins that glitter with light.",In stock,203,9594,"Categories: Pokemon, Scratch Cat","Tags: meowth, Pickup, Scratch Cat",9.3 kg,1 x 1 x 1 cm,"Reviews
There are no reviews yet.




Be the first to review “Meowth” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Persian,https://scrapeme.live/wp-content/uploads/2018/08/053.png,£200.00,Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon’s surrounding vicinity. It becomes docile if grabbed by the whiskers.,In stock,108,3752,"Categories: Classy Cat, Pokemon","Tags: Classy Cat, persian, Technician",70.5 kg,3 x 3 x 3 cm,"Reviews
There are no reviews yet.




Be the first to review “Persian” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
